year	emissions
1751	9350528
1752	9354192
1753	9354192
1754	9357856
1755	9361520
1756	10006384
1757	10010048
1758	10013712
1759	10017376
1760	10017376
1761	10973680
1762	10977344
1763	10981008
1764	10984672
1765	10988336
1766	12259744
1767	12263408
1768	12267072
1769	12270736
1770	12274400
1771	13611760
1772	13615424
1773	13619088
1774	13622752
1775	13626416
1776	15037056
1777	15040720
1778	15044384
1779	15048048
1780	15055376
1781	16843408
1782	16847072
1783	16854400
1784	16858064
1785	16869056
1786	19151728
1787	19159056
1788	19162720
1789	19170048
1790	19177376
1791	21419744
1792	21896064
1793	21914384
1794	21881408
1795	21892400
1796	22951296
1797	24094464
1798	25094736
1799	26428432
1800	28091888
1801	27959984
1802	36782896
1803	31488416
1804	34309696
1805	33419344
1806	35046160
1807	36874496
1808	35064480
1809	35090128
1810	37380128
1811	39582192
1812	41007488
1813	41220000
1814	42128672
1815	43488016
1816	47664976
1817	49431024
1818	49643536
1819	49947648
1820	50687776
1821	51435232
1822	53465088
1823	56550176
1824	58525072
1825	60756448
1826	61419632
1827	65915360
1828	66637168
1829	66395344
1830	89123136
1831	84528480
1832	85111056
1833	86807488
1834	88485600
1835	90445840
1836	104775744
1837	104691472
1838	108044032
1839	111612768
1840	118929776
1841	122619424
1842	129504080
1843	132852976
1844	141423072
1845	155210704
1846	157793824
1847	172402192
1848	173816496
1849	183511440
1850	196896032
1851	198742688
1852	207495984
1853	217099328
1854	255010736
1855	260034080
1856	277108320
1857	279680448
1858	283967328
1859	301001264
1860	330708976
1861	347786880
1862	354114608
1863	377923280
1864	407151008
1865	432366656
1866	446037040
1867	477814912
1868	490752496
1869	521130720
1870	532536752
1871	566142960
1872	626371792
1873	665419040
1874	622997248
1875	675799152
1876	685552720
1877	699098528
1878	704565216
1879	755036816
1880	853891536
1881	882587984
1882	932128928
1883	991273216
1884	1002430096
1885	1009908320
1886	1025729472
1887	1077043792
1888	1192584368
1889	1192155680
1890	1298855024
1891	1359300032
1892	1370541184
1893	1354137456
1894	1401373744
1895	1485920544
1896	1534406256
1897	1607045056
1898	1695109296
1899	1851825904
1900	1953307712
1901	2017969984
1902	2069097440
1903	2257269488
1904	2281224720
1905	2428667744
1906	2550865808
1907	2884659872
1908	2775703504
1909	2885293744
1910	3026016992
1911	3081237136
1912	3226719920
1913	3491363312
1914	3168077600
1915	3125157504
1916	3372323616
1917	3528377040
1918	3480686416
1919	3016640816
1920	3507613152
1921	3077712368
1922	3227269520
1923	3661713664
1924	3673299232
1925	3699225696
1926	3641924400
1927	3977378256
1928	3991121920
1929	4290749184
1930	3965451936
1931	3542868160
1932	3196286736
1933	3365596512
1934	3661548784
1935	3846511168
1936	4223676000
1937	4522870912
1938	4264888672
1939	4503129280
1940	4904007520
1941	5024655712
1942	5039974896
1943	5216282912
1944	5181123168
1945	4333394480
1946	4730660016
1947	5236563152
1948	5505427472
1949	5244854784
1950	5786141168
1951	6226396416
1952	6310375296
1953	6486280272
1954	6629183600
1955	7258204464
1956	7725118976
1957	7964755568
1958	8215483088
1959	8989176487
1960	9410529753
1961	9452107735
1962	9838202053
1963	10379067957
1964	10969325141
1965	11466150222
1966	12045555868
1967	12431009376
1968	13063449642
1969	13846427335
1970	14845814983
1971	15409717552
1972	16023990774
1973	16893361429
1974	16923578710
1975	16825640953
1976	17800972415
1977	18355439225
1978	18561698852
1979	19594228807
1980	19388094366
1981	18787122618
1982	18624075692
1983	18549448038
1984	19216866047
1985	19792621843
1986	20395949534
1987	20912413491
1988	21681109322
1989	22154335730
1990	22181807367
1991	22429377426
1992	22195105131
1993	22153143108
1994	22533832969
1995	23007425377
1996	23522979106
1997	23915329404
1998	23984983896
1999	23930561468
2000	24558691083
2001	25137999688
2002	25494190555
2003	26866738381
2004	28187598935
2005	29254906351
2006	30286836386
2007	30880145296
2008	31875755797
2009	31523142973
2010	33066651212
2011	34357365920
2012	34919288710
2013	35207885978
2014	35505827039
2015	35462746737
2016	35675099439
2017	36153261645
2018	36572750000
2019	36572750000
2020	36572750000
